ipv6.src,ipv6.dst,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.cap_len
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,603
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53684,,,86
2404:6800:4002:811::2003,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,80,53682,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80b::2004,6,53618,443,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38958,443,,,94
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,94
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,559
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,150
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,273
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
